"n","muPredicted"
0,0.020870330605511
0,0.0467331046559415
0,0.0510251502078532
0,0.0977613625268945
0,0.0412400170407044
0,0.0155885016126244
0,0.0267569470119055
0,0.0140799369404349
0,0.00366933335828859
0,0.0320726725033944
0,0.0624883848734834
0,0.0379057528469118
0,0.040246363354926
0,0.0714561807436773
0,0.0957461372077065
0,0.0485045073999199
0,0.101286579098943
0,0.0165717144730405
0,0.0616074052392461
0,0.0381888021064148
0,0.0532947227166802
0,0.034653646986652
0,0.0961735298443455
0,0.0500335984595102
0,0.0536350498458677
0,0.0554699948494914
0,0.0482396453736236
0,0.0418441775705598
0,0.0360877129817329
0,0.00482570926611488
